SRC_IP,MF_FLAG,DF_FLAG,PACKET_NO,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,DST_IP,IP_FRAG_OFF
157.166.255.38,0,0,278,Linux,20,1258920202.321717000,47,172.16.16.128,0
157.166.255.38,0,0,279,Linux,20,1258920202.324448000,47,172.16.16.128,0
204.160.104.126,0,0,280,Linux,20,1258920202.324453000,56,172.16.16.128,0
157.166.255.38,0,0,281,Linux,20,1258920202.326101000,47,172.16.16.128,0
157.166.255.38,0,0,282,Linux,20,1258920202.326106000,47,172.16.16.128,0
204.160.104.126,0,0,283,Linux,20,1258920202.326109000,56,172.16.16.128,0
157.166.255.38,0,0,284,Linux,20,1258920202.326111000,47,172.16.16.128,0
172.16.16.128,0,1,285,Linux,20,1258920202.330425000,128,204.160.104.126,0
172.16.16.128,0,1,286,Linux,20,1258920202.330533000,128,204.160.104.126,0
157.166.255.38,0,0,287,Linux,20,1258920202.331432000,47,172.16.16.128,0
157.166.255.38,0,0,288,Linux,20,1258920202.331437000,47,172.16.16.128,0
74.125.95.149,0,0,289,Linux,20,1258920202.339608000,51,172.16.16.128,0
172.16.16.128,0,1,290,Linux,20,1258920202.339718000,128,74.125.95.149,0
172.16.16.128,0,1,291,Linux,20,1258920202.341126000,128,74.125.95.149,0
204.160.104.126,0,0,292,Linux,20,1258920202.341672000,56,172.16.16.128,0
172.16.16.128,0,1,293,Linux,20,1258920202.342217000,128,204.160.104.126,0
204.160.104.126,0,0,294,Linux,20,1258920202.348360000,56,172.16.16.128,0
157.166.255.38,0,0,295,Linux,20,1258920202.348366000,47,172.16.16.128,0
172.16.16.128,0,1,296,Linux,20,1258920202.348601000,128,157.166.255.38,0
172.16.16.128,0,1,297,Linux,20,1258920202.349074000,128,157.166.255.38,0
172.16.16.128,0,1,298,Linux,20,1258920202.349081000,128,157.166.255.38,0
172.16.16.128,0,1,299,Linux,20,1258920202.349528000,128,204.160.104.126,0
157.166.255.38,0,0,300,Linux,20,1258920202.351110000,46,172.16.16.128,0
172.16.16.128,0,1,301,Linux,20,1258920202.356209000,128,157.166.226.25,0
157.166.255.38,0,0,302,Linux,20,1258920202.356903000,46,172.16.16.128,0
157.166.255.38,0,0,303,Linux,20,1258920202.356907000,46,172.16.16.128,0
204.160.104.126,0,0,304,Linux,20,1258920202.356910000,56,172.16.16.128,0
172.16.16.128,0,1,305,Linux,20,1258920202.357027000,128,157.166.255.38,0
172.16.16.128,0,1,306,Linux,20,1258920202.357649000,128,204.160.104.126,0
74.125.95.149,0,0,307,Linux,20,1258920202.361548000,51,172.16.16.128,0
74.125.95.149,0,0,308,Linux,20,1258920202.378866000,51,172.16.16.128,0
204.160.104.126,0,0,309,Linux,20,1258920202.378915000,56,172.16.16.128,0
172.16.16.128,0,1,310,Linux,20,1258920202.379581000,128,204.160.104.126,0
204.160.104.126,0,0,311,Linux,20,1258920202.379702000,56,172.16.16.128,0
204.160.104.126,0,0,312,Linux,20,1258920202.379705000,56,172.16.16.128,0
74.125.95.149,0,0,313,Linux,20,1258920202.380057000,51,172.16.16.128,0
172.16.16.128,0,1,314,Linux,20,1258920202.395017000,128,204.160.104.126,0
172.16.16.128,0,1,315,Linux,20,1258920202.395143000,128,204.160.104.126,0
204.160.104.126,0,0,316,Linux,20,1258920202.401209000,56,172.16.16.128,0
172.16.16.128,0,1,317,Linux,20,1258920202.401835000,128,204.160.104.126,0
74.125.95.149,0,0,318,Linux,20,1258920202.405970000,51,172.16.16.128,0
74.125.95.149,0,0,319,Linux,20,1258920202.411329000,51,172.16.16.128,0
74.125.95.149,0,0,320,Linux,20,1258920202.411335000,51,172.16.16.128,0
74.125.95.149,0,0,321,Linux,20,1258920202.411337000,51,172.16.16.128,0
157.166.255.38,0,0,322,Linux,20,1258920202.411339000,47,172.16.16.128,0
204.160.104.126,0,0,323,Linux,20,1258920202.411341000,56,172.16.16.128,0
74.125.95.149,0,0,324,Linux,20,1258920202.411344000,51,172.16.16.128,0
172.16.16.128,0,1,325,Linux,20,1258920202.411479000,128,74.125.95.149,0
172.16.16.128,0,1,326,Linux,20,1258920202.412913000,128,74.125.95.149,0
172.16.16.128,0,1,327,Linux,20,1258920202.413410000,128,204.160.104.126,0
157.166.255.38,0,0,328,Linux,20,1258920202.414571000,47,172.16.16.128,0
204.160.104.126,0,0,329,Linux,20,1258920202.420059000,56,172.16.16.128,0
157.166.255.38,0,0,330,Linux,20,1258920202.420064000,47,172.16.16.128,0
172.16.16.128,0,1,331,Linux,20,1258920202.420790000,128,204.160.104.126,0
172.16.16.128,0,1,332,Linux,20,1258920202.421036000,128,157.166.255.38,0
157.166.255.38,0,0,333,Linux,20,1258920202.421795000,46,172.16.16.128,0
157.166.255.38,0,0,334,Linux,20,1258920202.423783000,46,172.16.16.128,0
172.16.16.128,0,1,335,Linux,20,1258920202.423826000,128,157.166.255.38,0
