PACKET_SIZE,SRC_IP,TTL,DST_IP,KNOWN_HOST_DEVICE,IP_FRAG_OFF,PACKET_NO,MF_FLAG,TIMESTAMP,DF_FLAG
20,162.159.133.234,57,192.168.86.21,MacOS,0,183,0,1666897696.517455000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,184,0,1666897696.531899000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,185,0,1666897696.538062000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,186,0,1666897696.590798000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,187,0,1666897696.590799000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,188,0,1666897696.590880000,1
20,108.138.156.125,248,192.168.86.21,MacOS,0,189,0,1666897696.859907000,0
20,108.138.156.125,248,192.168.86.21,MacOS,0,190,0,1666897696.859907000,0
20,192.168.86.21,64,108.138.156.125,MacOS,0,191,0,1666897696.859969000,1
20,192.168.86.21,64,108.138.156.125,MacOS,0,192,0,1666897696.860068000,1
20,192.168.86.21,64,108.138.156.125,MacOS,0,193,0,1666897696.860135000,1
20,108.138.156.125,248,192.168.86.21,MacOS,0,194,0,1666897696.868721000,0
20,173.223.108.190,55,192.168.86.21,MacOS,0,195,0,1666897698.866874000,1
20,173.223.108.190,55,192.168.86.21,MacOS,0,196,0,1666897698.866874000,1
20,173.223.108.190,55,192.168.86.21,MacOS,0,197,0,1666897698.866875000,1
20,192.168.86.21,64,173.223.108.190,MacOS,0,198,0,1666897698.867157000,1
20,192.168.86.21,64,173.223.108.190,MacOS,0,199,0,1666897698.867161000,1
20,192.168.86.21,64,173.223.108.190,MacOS,0,200,0,1666897698.867470000,1
20,192.168.86.21,64,173.223.108.190,MacOS,0,201,0,1666897698.867685000,1
20,173.223.108.190,55,192.168.86.21,MacOS,0,202,0,1666897698.873787000,1
20,173.223.108.190,55,192.168.86.21,MacOS,0,203,0,1666897698.873787000,1
20,192.168.86.21,64,162.159.128.233,MacOS,0,204,0,1666897699.070627000,1
20,17.248.131.29,46,192.168.86.21,MacOS,0,205,0,1666897699.084437000,1
20,17.248.131.29,46,192.168.86.21,MacOS,0,206,0,1666897699.084438000,1
20,17.248.131.29,46,192.168.86.21,MacOS,0,207,0,1666897699.084438000,1
20,192.168.86.21,64,17.248.131.29,MacOS,0,208,0,1666897699.084615000,1
20,192.168.86.21,64,17.248.131.29,MacOS,0,209,0,1666897699.084911000,1
20,192.168.86.21,64,17.248.131.29,MacOS,0,210,0,1666897699.085028000,1
20,162.159.128.233,57,192.168.86.21,MacOS,0,211,0,1666897699.091617000,1
20,17.248.131.29,46,192.168.86.21,MacOS,0,212,0,1666897699.092848000,1
