PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,111,0,N/A,172.16.16.128,51,20,Linux,1258920201.895259000,N/A,0,157.166.226.25
N/A,0,112,0,N/A,172.16.16.128,51,20,Linux,1258920201.897867000,N/A,0,157.166.226.25
N/A,0,113,0,N/A,157.166.226.25,128,20,Linux,1258920201.897908000,N/A,1,172.16.16.128
N/A,0,114,0,N/A,172.16.16.128,56,20,Linux,1258920201.898244000,N/A,0,204.160.104.126
N/A,0,115,0,N/A,172.16.16.128,56,20,Linux,1258920201.898246000,N/A,0,204.160.104.126
N/A,0,116,0,N/A,172.16.16.128,56,20,Linux,1258920201.898248000,N/A,0,204.160.104.126
N/A,0,117,0,N/A,172.16.16.128,56,20,Linux,1258920201.898382000,N/A,0,204.160.104.126
N/A,0,118,0,N/A,204.160.104.126,128,20,Linux,1258920201.899049000,N/A,1,172.16.16.128
N/A,0,119,0,N/A,204.160.104.126,128,20,Linux,1258920201.899159000,N/A,1,172.16.16.128
N/A,0,120,0,N/A,172.16.16.128,56,20,Linux,1258920201.908327000,N/A,0,204.160.104.126
N/A,0,121,0,N/A,204.160.104.126,128,20,Linux,1258920201.908596000,N/A,1,172.16.16.128
N/A,0,122,0,N/A,172.16.16.128,56,20,Linux,1258920201.919915000,N/A,0,204.160.104.126
N/A,0,123,0,N/A,204.160.104.126,128,20,Linux,1258920201.921969000,N/A,1,172.16.16.128
N/A,0,124,0,N/A,172.16.16.128,56,20,Linux,1258920201.928209000,N/A,0,204.160.104.126
N/A,0,125,0,N/A,204.160.104.126,128,20,Linux,1258920201.928990000,N/A,1,172.16.16.128
N/A,0,126,0,N/A,172.16.16.128,56,20,Linux,1258920201.933729000,N/A,0,204.160.104.126
N/A,0,127,0,N/A,204.160.104.126,128,20,Linux,1258920201.934392000,N/A,1,172.16.16.128
N/A,0,128,0,N/A,172.16.16.128,56,20,Linux,1258920201.946265000,N/A,0,204.160.104.126
N/A,0,129,0,N/A,204.160.104.126,128,20,Linux,1258920201.946593000,N/A,1,172.16.16.128
N/A,0,130,0,N/A,172.16.16.128,56,20,Linux,1258920201.947183000,N/A,0,204.160.104.126
N/A,0,131,0,N/A,204.160.104.126,128,20,Linux,1258920201.947710000,N/A,1,172.16.16.128
N/A,0,132,0,N/A,172.16.16.128,51,20,Linux,1258920201.951647000,N/A,0,157.166.226.25
N/A,0,133,0,N/A,172.16.16.128,51,20,Linux,1258920201.952906000,N/A,0,157.166.226.25
N/A,0,134,0,N/A,157.166.226.25,128,20,Linux,1258920201.952947000,N/A,1,172.16.16.128
N/A,0,135,0,N/A,172.16.16.128,51,20,Linux,1258920201.956127000,N/A,0,157.166.226.25
N/A,0,136,0,N/A,172.16.16.128,56,20,Linux,1258920201.956338000,N/A,0,204.160.104.126
N/A,0,137,0,N/A,172.16.16.128,51,20,Linux,1258920201.957237000,N/A,0,157.166.226.25
N/A,0,138,0,N/A,157.166.226.25,128,20,Linux,1258920201.957277000,N/A,1,172.16.16.128
N/A,0,139,0,N/A,172.16.16.128,51,20,Linux,1258920201.958431000,N/A,0,157.166.226.25
N/A,0,140,0,N/A,172.16.16.128,51,20,Linux,1258920201.959674000,N/A,0,157.166.226.25
N/A,0,141,0,N/A,157.166.226.25,128,20,Linux,1258920201.959714000,N/A,1,172.16.16.128
N/A,0,142,0,N/A,172.16.16.128,56,20,Linux,1258920201.962382000,N/A,0,204.160.104.126
N/A,0,143,0,N/A,172.16.16.128,56,20,Linux,1258920201.975079000,N/A,0,204.160.104.126
N/A,0,144,0,N/A,172.16.16.128,56,20,Linux,1258920201.979134000,N/A,0,204.160.104.126
N/A,0,145,0,N/A,172.16.16.128,56,20,Linux,1258920201.992352000,N/A,0,204.160.104.126
N/A,0,146,0,N/A,172.16.16.128,56,20,Linux,1258920201.995135000,N/A,0,204.160.104.126
N/A,0,147,0,N/A,204.160.104.126,128,20,Linux,1258920202.016048000,N/A,1,172.16.16.128
N/A,0,148,0,N/A,204.160.104.126,128,20,Linux,1258920202.016237000,N/A,1,172.16.16.128
N/A,0,149,0,N/A,204.160.104.126,128,20,Linux,1258920202.016320000,N/A,1,172.16.16.128
N/A,0,150,0,N/A,204.160.104.126,128,20,Linux,1258920202.016407000,N/A,1,172.16.16.128
N/A,0,151,0,N/A,204.160.104.126,128,20,Linux,1258920202.016462000,N/A,1,172.16.16.128
N/A,0,152,0,N/A,204.160.104.126,128,20,Linux,1258920202.016541000,N/A,1,172.16.16.128
N/A,0,153,0,N/A,172.16.16.128,51,20,Linux,1258920202.017645000,N/A,0,157.166.226.25
N/A,0,154,0,N/A,172.16.16.128,51,20,Linux,1258920202.017649000,N/A,0,157.166.226.25
N/A,0,155,0,N/A,199.93.63.126,128,20,Linux,1258920202.026439000,N/A,1,172.16.16.128
N/A,0,156,0,N/A,157.166.226.25,128,20,Linux,1258920202.035607000,N/A,1,172.16.16.128
N/A,0,157,0,N/A,157.166.255.38,128,20,Linux,1258920202.039370000,N/A,1,172.16.16.128
N/A,0,158,0,N/A,157.166.226.25,128,20,Linux,1258920202.059956000,N/A,1,172.16.16.128
N/A,0,159,0,N/A,172.16.16.128,56,20,Linux,1258920202.063225000,N/A,0,204.160.104.126
N/A,0,160,0,N/A,204.160.104.126,128,20,Linux,1258920202.063768000,N/A,1,172.16.16.128
N/A,0,161,0,N/A,172.16.16.128,56,20,Linux,1258920202.067143000,N/A,0,204.160.104.126
N/A,0,162,0,N/A,172.16.16.128,56,20,Linux,1258920202.067146000,N/A,0,204.160.104.126
N/A,0,163,0,N/A,204.160.104.126,128,20,Linux,1258920202.067879000,N/A,1,172.16.16.128
N/A,0,164,0,N/A,204.160.104.126,128,20,Linux,1258920202.067960000,N/A,1,172.16.16.128
N/A,0,165,0,N/A,172.16.16.128,56,20,Linux,1258920202.068348000,N/A,0,204.160.104.126
N/A,0,166,0,N/A,204.160.104.126,128,20,Linux,1258920202.068639000,N/A,1,172.16.16.128
udp,0,167,0,137,172.16.16.255,128,20,Linux,1258920202.070084000,137,0,172.16.16.128
N/A,0,168,0,N/A,172.16.16.128,56,20,Linux,1258920202.070423000,N/A,0,204.160.104.126
N/A,0,169,0,N/A,204.160.104.126,128,20,Linux,1258920202.070730000,N/A,1,172.16.16.128
N/A,0,170,0,N/A,172.16.16.128,56,20,Linux,1258920202.076396000,N/A,0,199.93.63.126
N/A,0,171,0,N/A,199.93.63.126,128,20,Linux,1258920202.076472000,N/A,1,172.16.16.128
N/A,0,172,0,N/A,172.16.16.128,56,20,Linux,1258920202.076723000,N/A,0,204.160.104.126
N/A,0,173,0,N/A,199.93.63.126,128,20,Linux,1258920202.076780000,N/A,1,172.16.16.128
N/A,0,174,0,N/A,204.160.104.126,128,20,Linux,1258920202.077106000,N/A,1,172.16.16.128
N/A,0,175,0,N/A,172.16.16.128,51,20,Linux,1258920202.093802000,N/A,0,157.166.226.25
N/A,0,176,0,N/A,157.166.226.25,128,20,Linux,1258920202.093889000,N/A,1,172.16.16.128
N/A,0,177,0,N/A,157.166.226.25,128,20,Linux,1258920202.094255000,N/A,1,172.16.16.128
N/A,0,178,0,N/A,172.16.16.128,46,20,Linux,1258920202.096628000,N/A,0,157.166.255.38
