PACKET_NO,PACKET_SIZE,TTL,MF_FLAG,IP_FRAG_OFF,TIMESTAMP,SRC_IP,SUB_PROTOCOL,KNOWN_HOST_DEVICE,DST_IP,DF_FLAG,HTTP_USER_AGENT
284,20,54,0,0,1663877090.391055000,172.217.14.163,N/A,Windows,10.169.169.21,1,N/A
285,20,128,0,0,1663877090.391774000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
286,20,54,0,0,1663877090.396618000,172.217.14.163,N/A,Windows,10.169.169.21,1,N/A
287,20,54,0,0,1663877090.401854000,172.217.14.163,N/A,Windows,10.169.169.21,1,N/A
288,20,128,0,0,1663877090.402310000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
289,20,53,0,0,1663877090.449035000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
290,20,128,0,0,1663877090.477833000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
291,20,128,0,0,1663877090.489202000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
292,20,53,0,0,1663877090.556088000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
293,20,128,0,0,1663877090.559786000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
294,20,128,0,0,1663877090.561078000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
295,20,128,0,0,1663877090.562853000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
296,20,53,0,0,1663877090.576681000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
297,20,128,0,0,1663877090.619067000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
298,20,54,0,0,1663877090.625484000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
299,20,128,0,0,1663877090.625667000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
300,20,128,0,0,1663877090.626260000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
301,20,53,0,0,1663877090.630847000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
302,20,54,0,0,1663877090.631699000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
303,20,54,0,0,1663877090.634805000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
304,20,128,0,0,1663877090.635931000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
305,20,128,0,0,1663877090.636536000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
