DF_FLAG,PACKET_NO,TLS_VERSION,SRC_IP,TLS_CIPHER_SUITES,SUB_PROTOCOL,TLS_EXTENSION_SIG_ALGS,DST_IP,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,IP_FRAG_OFF,KNOWN_HOST_DEVICE
1,178,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.502258000,0,MacOS
1,179,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.502259000,0,MacOS
1,180,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.502345000,0,MacOS
1,181,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.502412000,0,MacOS
1,182,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.511156000,0,MacOS
1,183,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.517455000,0,MacOS
1,184,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.531899000,0,MacOS
1,185,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.538062000,0,MacOS
1,186,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.590798000,0,MacOS
1,187,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.590799000,0,MacOS
1,188,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.590880000,0,MacOS
0,189,N/A,108.138.156.125,N/A,N/A,N/A,192.168.86.21,248,0,20,1666897696.859907000,0,MacOS
0,190,N/A,108.138.156.125,N/A,N/A,N/A,192.168.86.21,248,0,20,1666897696.859907000,0,MacOS
1,191,N/A,192.168.86.21,N/A,N/A,N/A,108.138.156.125,64,0,20,1666897696.859969000,0,MacOS
1,192,N/A,192.168.86.21,N/A,N/A,N/A,108.138.156.125,64,0,20,1666897696.860068000,0,MacOS
1,193,N/A,192.168.86.21,N/A,N/A,N/A,108.138.156.125,64,0,20,1666897696.860135000,0,MacOS
0,194,N/A,108.138.156.125,N/A,N/A,N/A,192.168.86.21,248,0,20,1666897696.868721000,0,MacOS
1,195,N/A,173.223.108.190,N/A,N/A,N/A,192.168.86.21,55,0,20,1666897698.866874000,0,MacOS
