DST_IP,IP_FRAG_OFF,HTTP_USER_AGENT,SRC_IP,PACKET_NO,DF_FLAG,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,SUB_PROTOCOL,KNOWN_HOST_DEVICE
157.166.226.25,0,N/A,172.16.16.128,110,1,128,0,20,1258920201.894115000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,111,0,51,0,20,1258920201.895259000,N/A,Linux
172.16.16.128,0,N/A,157.166.226.25,112,0,51,0,20,1258920201.897867000,N/A,Linux
157.166.226.25,0,N/A,172.16.16.128,113,1,128,0,20,1258920201.897908000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,114,0,56,0,20,1258920201.898244000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,115,0,56,0,20,1258920201.898246000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,116,0,56,0,20,1258920201.898248000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,117,0,56,0,20,1258920201.898382000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,118,1,128,0,20,1258920201.899049000,http,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,119,1,128,0,20,1258920201.899159000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,120,0,56,0,20,1258920201.908327000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,121,1,128,0,20,1258920201.908596000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,122,0,56,0,20,1258920201.919915000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,123,1,128,0,20,1258920201.921969000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,124,0,56,0,20,1258920201.928209000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,125,1,128,0,20,1258920201.928990000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,126,0,56,0,20,1258920201.933729000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,127,1,128,0,20,1258920201.934392000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,128,0,56,0,20,1258920201.946265000,N/A,Linux
