DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
140.82.113.6,71,56516,0,20,·······A····,2069,443,1,tcp,MacOS,1,N/A,44,0,1666897692.044215000,N/A,0,192.168.86.21,N/A,2972723293,N/A,64,01:01:08:0a:51:c8:53:7c:fa:34:e7:cc:01:01:05:0a:71:f9:21:c0:71:f9:27:2b
140.82.113.6,72,56516,0,20,·······A····,2025,443,2812,tcp,MacOS,1,N/A,32,0,1666897692.044258000,N/A,0,192.168.86.21,N/A,2972723293,N/A,64,01:01:08:0a:51:c8:53:7c:fa:34:e7:f7
140.82.113.6,73,56516,0,20,·······AP···,2048,443,2812,tcp,MacOS,1,N/A,32,0,1666897692.044918000,N/A,0,192.168.86.21,N/A,2972723293,N/A,64,01:01:08:0a:51:c8:53:7c:fa:34:e7:f7
140.82.113.6,74,56516,0,20,·······AP···,2048,443,2812,tcp,MacOS,1,N/A,32,0,1666897692.045094000,N/A,0,192.168.86.21,N/A,2972723357,N/A,64,01:01:08:0a:51:c8:53:7c:fa:34:e7:f7
140.82.113.6,75,56516,0,20,·······AP···,2048,443,2812,tcp,MacOS,1,N/A,32,0,1666897692.045247000,N/A,0,192.168.86.21,N/A,2972723449,N/A,64,01:01:08:0a:51:c8:53:7d:fa:34:e7:f7
192.168.86.21,76,443,0,20,·······AP···,66,56516,582,tcp,MacOS,1,N/A,32,0,1666897692.084287000,N/A,0,140.82.113.6,N/A,1912153899,N/A,48,01:01:08:0a:fa:34:e8:23:51:c8:53:7c
192.168.86.21,77,443,0,20,·······AP···,66,56516,582,tcp,MacOS,1,N/A,32,0,1666897692.084288000,N/A,0,140.82.113.6,N/A,1912153978,N/A,48,01:01:08:0a:fa:34:e8:23:51:c8:53:7c
192.168.86.21,78,443,0,20,·······A····,67,56516,1106,tcp,MacOS,1,N/A,32,0,1666897692.084288000,N/A,0,140.82.113.6,N/A,1912154057,N/A,48,01:01:08:0a:fa:34:e8:23:51:c8:53:7c
140.82.113.6,79,56516,0,20,·······A····,2045,443,2970,tcp,MacOS,1,N/A,32,0,1666897692.084391000,N/A,0,192.168.86.21,N/A,2972723881,N/A,64,01:01:08:0a:51:c8:53:a4:fa:34:e8:23
192.168.86.21,80,443,0,20,·······AP···,67,56516,1106,tcp,MacOS,1,N/A,32,0,1666897692.085079000,N/A,0,140.82.113.6,N/A,1912154057,N/A,48,01:01:08:0a:fa:34:e8:23:51:c8:53:7c
140.82.113.6,81,56516,0,20,·······A····,2047,443,3028,tcp,MacOS,1,N/A,32,0,1666897692.085172000,N/A,0,192.168.86.21,N/A,2972723881,N/A,64,01:01:08:0a:51:c8:53:a4:fa:34:e8:23
140.82.113.6,82,56516,0,20,·······AP···,2048,443,3028,tcp,MacOS,1,N/A,32,0,1666897692.085475000,N/A,0,192.168.86.21,N/A,2972723881,N/A,64,01:01:08:0a:51:c8:53:a6:fa:34:e8:23
192.168.86.21,83,443,0,20,·······AP···,67,56516,1137,tcp,MacOS,1,N/A,32,0,1666897692.157573000,N/A,0,140.82.113.6,N/A,1912154115,N/A,48,01:01:08:0a:fa:34:e8:6b:51:c8:53:a6
140.82.113.6,84,56516,0,20,·······A····,2032,443,4037,tcp,MacOS,1,N/A,32,0,1666897692.157659000,N/A,0,192.168.86.21,N/A,2972723912,N/A,64,01:01:08:0a:51:c8:53:ee:fa:34:e8:6b
140.82.113.6,85,56516,0,20,·······AP···,2048,443,4037,tcp,MacOS,1,N/A,32,0,1666897692.158308000,N/A,0,192.168.86.21,N/A,2972723912,N/A,64,01:01:08:0a:51:c8:53:ee:fa:34:e8:6b
192.168.86.21,86,443,0,20,·······A····,67,56516,1172,tcp,MacOS,1,N/A,32,0,1666897692.241507000,N/A,0,140.82.113.6,N/A,1912155124,N/A,48,01:01:08:0a:fa:34:e8:c1:51:c8:53:ee
140.82.112.26,87,56497,0,20,·······AP···,2048,443,1,tcp,MacOS,1,N/A,32,0,1666897693.287879000,N/A,0,192.168.86.21,N/A,611069056,N/A,64,01:01:08:0a:bd:90:23:e2:c0:75:42:af
140.82.112.26,88,56497,0,20,·······A···F,2048,443,1,tcp,MacOS,1,N/A,32,0,1666897693.289281000,N/A,0,192.168.86.21,N/A,611069086,N/A,64,01:01:08:0a:bd:90:23:e2:c0:75:42:af
185.199.108.133,89,56498,0,20,·······A···F,2048,443,1,tcp,MacOS,1,N/A,32,0,1666897693.314730000,N/A,0,192.168.86.21,N/A,735343583,N/A,64,01:01:08:0a:3b:d1:73:c4:4a:f8:f6:11
140.82.113.6,90,56516,0,20,·······A···F,2048,443,4037,tcp,MacOS,1,N/A,32,0,1666897693.315474000,N/A,0,192.168.86.21,N/A,2972723947,N/A,64,01:01:08:0a:51:c8:58:73:fa:34:e8:c1
192.168.86.21,91,443,0,20,·······A····,268,56498,2,tcp,MacOS,1,N/A,32,0,1666897693.319976000,N/A,0,185.199.108.133,N/A,2844342624,N/A,58,01:01:08:0a:4a:f9:64:15:3b:d1:73:c4
192.168.86.21,92,443,0,20,·······AP···,268,56498,2,tcp,MacOS,1,N/A,32,0,1666897693.319977000,N/A,0,185.199.108.133,N/A,2844342624,N/A,58,01:01:08:0a:4a:f9:64:15:3b:d1:73:c4
192.168.86.21,93,443,0,20,·······A···F,268,56498,2,tcp,MacOS,1,N/A,32,0,1666897693.319977000,N/A,0,185.199.108.133,N/A,2844342648,N/A,58,01:01:08:0a:4a:f9:64:15:3b:d1:73:c4
185.199.108.133,94,56498,0,20,·········R··,0,443,0,tcp,MacOS,1,N/A,20,0,1666897693.320130000,N/A,0,192.168.86.21,N/A,735343584,N/A,64,N/A
185.199.108.133,95,56498,0,20,·········R··,0,443,0,tcp,MacOS,1,N/A,20,0,1666897693.320191000,N/A,0,192.168.86.21,N/A,735343584,N/A,64,N/A
192.168.86.21,96,443,0,20,·······A····,69,56497,31,tcp,MacOS,1,N/A,32,0,1666897693.334391000,N/A,0,140.82.112.26,N/A,2786590844,N/A,47,01:01:08:0a:c0:75:ed:27:bd:90:23:e2
192.168.86.21,97,443,0,20,·······AP···,69,56497,32,tcp,MacOS,1,N/A,32,0,1666897693.335117000,N/A,0,140.82.112.26,N/A,2786590844,N/A,47,01:01:08:0a:c0:75:ed:27:bd:90:23:e2
192.168.86.21,98,443,0,20,·······AP···,69,56497,32,tcp,MacOS,1,N/A,32,0,1666897693.335118000,N/A,0,140.82.112.26,N/A,2786590870,N/A,47,01:01:08:0a:c0:75:ed:27:bd:90:23:e2
140.82.112.26,99,56497,0,20,·········R··,0,443,0,tcp,MacOS,1,N/A,20,0,1666897693.335192000,N/A,0,192.168.86.21,N/A,611069087,N/A,64,N/A
192.168.86.21,100,443,0,20,·······A···F,69,56497,32,tcp,MacOS,1,N/A,32,0,1666897693.335586000,N/A,0,140.82.112.26,N/A,2786590894,N/A,47,01:01:08:0a:c0:75:ed:27:bd:90:23:e2
140.82.112.26,101,56497,0,20,·········R··,0,443,0,tcp,MacOS,1,N/A,20,0,1666897693.335622000,N/A,0,192.168.86.21,N/A,611069087,N/A,64,N/A
192.168.86.21,102,443,0,20,·······A···F,67,56516,1173,tcp,MacOS,1,N/A,32,0,1666897693.356791000,N/A,0,140.82.113.6,N/A,1912155124,N/A,48,01:01:08:0a:fa:34:ed:1b:51:c8:58:73
140.82.113.6,103,56516,0,20,·······A····,2048,443,4038,tcp,MacOS,1,N/A,32,0,1666897693.356885000,N/A,0,192.168.86.21,N/A,2972723948,N/A,64,01:01:08:0a:51:c8:58:9d:fa:34:ed:1b
192.168.86.21,104,443,N/A,20,N/A,N/A,52419,N/A,udp,MacOS,1,N/A,N/A,0,1666897694.709423000,N/A,0,52.96.57.34,N/A,N/A,N/A,241,N/A
52.96.57.34,105,52419,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897694.712616000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.1,108,64185,N/A,20,N/A,N/A,53,N/A,udp,MacOS,0,N/A,N/A,0,1666897695.869055000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
