TLS_EXTENSION_SIG_ALGS,DST_PORT,TCP_URP,SRC_IP,TCP_ACK,IP_FRAG_OFF,SUB_PROTOCOL,DST_IP,MF_FLAG,PACKET_SIZE,TCP_OPTIONS,KNOWN_HOST_DEVICE,TLS_VERSION,TLS_CIPHER_SUITES,TCP_HDR_LEN,PACKET_NO,TCP_FLAGS,SRC_PORT,HTTP_USER_AGENT,TIMESTAMP,DF_FLAG,TTL,TCP_SEQ,PROTOCOL,TCP_WINDOW_SIZE
N/A,80,0,10.169.169.63,1,0,http,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:1e:95:7d:1d:1d,MacOS,N/A,N/A,32,91,·······AP···,65514,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",1663875295.093103000,1,64,1450543228,tcp,2058
N/A,65499,0,128.95.155.198,0,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,92,·········R··,80,N/A,1663875295.097485000,1,44,2459474570,tcp,0
N/A,65499,0,128.95.155.198,0,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,93,·········R··,80,N/A,1663875295.097838000,1,44,2459474570,tcp,0
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,94,·······A····,80,N/A,1663875295.156173000,1,44,3687446133,tcp,65
N/A,80,0,10.169.169.63,1449,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5d:95:7d:1d:58,MacOS,N/A,N/A,32,95,·······A····,65514,N/A,1663875295.156258000,1,64,1450544250,tcp,2036
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,96,·······A····,80,N/A,1663875295.156373000,1,44,3687447581,tcp,65
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,97,·······A····,80,N/A,1663875295.156374000,1,44,3687449029,tcp,65
N/A,80,0,10.169.169.63,4345,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5d:95:7d:1d:58,MacOS,N/A,N/A,32,98,·······A····,65514,N/A,1663875295.156446000,1,64,1450544250,tcp,2002
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,99,·······A····,80,N/A,1663875295.156520000,1,44,3687450477,tcp,65
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,100,·······A····,80,N/A,1663875295.156521000,1,44,3687451925,tcp,65
N/A,80,0,10.169.169.63,7241,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5d:95:7d:1d:58,MacOS,N/A,N/A,32,101,·······A····,65514,N/A,1663875295.156572000,1,64,1450544250,tcp,1957
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,102,·······A····,80,N/A,1663875295.156795000,1,44,3687453373,tcp,65
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,103,·······A····,80,N/A,1663875295.156796000,1,44,3687454821,tcp,65
N/A,80,0,10.169.169.63,10137,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5d:95:7d:1d:58,MacOS,N/A,N/A,32,104,·······A····,65514,N/A,1663875295.156843000,1,64,1450544250,tcp,1912
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,105,·······A····,80,N/A,1663875295.156916000,1,44,3687456269,tcp,65
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:58:85:f7:b9:1e,MacOS,N/A,N/A,32,106,·······A····,80,N/A,1663875295.156918000,1,44,3687457717,tcp,65
N/A,80,0,10.169.169.63,13033,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5d:95:7d:1d:58,MacOS,N/A,N/A,32,107,·······A····,65514,N/A,1663875295.156972000,1,64,1450544250,tcp,1867
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:59:85:f7:b9:1e,MacOS,N/A,N/A,32,108,·······A····,80,N/A,1663875295.157265000,1,44,3687459165,tcp,65
N/A,80,0,10.169.169.63,14481,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5e:95:7d:1d:59,MacOS,N/A,N/A,32,109,·······A····,65514,N/A,1663875295.157312000,1,64,1450544250,tcp,1844
N/A,80,0,10.169.169.63,14481,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:5e:95:7d:1d:59,MacOS,N/A,N/A,32,110,·······A····,65514,N/A,1663875295.158020000,1,64,1450544250,tcp,2048
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,111,N/A,64352,N/A,1663875295.165280000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,112,N/A,443,N/A,1663875295.168862000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,113,N/A,64352,N/A,1663875295.169197000,1,64,N/A,udp,N/A
N/A,443,0,10.169.169.63,166,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,114,·······AP···,65498,N/A,1663875295.170350000,1,64,678052840,tcp,4096
N/A,443,0,10.169.169.63,166,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,115,·······AP···,65498,N/A,1663875295.170456000,1,64,678052913,tcp,4096
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,116,N/A,443,N/A,1663875295.172264000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,117,N/A,64352,N/A,1663875295.172461000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,118,N/A,443,N/A,1663875295.184010000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,119,N/A,64352,N/A,1663875295.184229000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,120,N/A,443,N/A,1663875295.187349000,1,54,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,121,N/A,443,N/A,1663875295.187667000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,122,N/A,64352,N/A,1663875295.187866000,1,64,N/A,udp,N/A
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:90:85:f7:b9:5d,MacOS,N/A,N/A,32,123,·······A····,80,N/A,1663875295.208155000,1,44,3687460613,tcp,65
N/A,80,0,10.169.169.63,15929,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:91:95:7d:1d:90,MacOS,N/A,N/A,32,124,·······A····,65514,N/A,1663875295.208216000,1,64,1450544250,tcp,2025
N/A,65514,0,128.95.155.198,1023,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:90:85:f7:b9:5d,MacOS,N/A,N/A,32,125,·······AP···,80,N/A,1663875295.208465000,1,44,3687462061,tcp,65
N/A,80,0,10.169.169.63,17179,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:91:95:7d:1d:90,MacOS,N/A,N/A,32,126,·······A····,65514,N/A,1663875295.208488000,1,64,1450544250,tcp,2028
N/A,65498,0,52.184.204.244,1136,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,127,·······A····,443,N/A,1663875295.209837000,1,101,1314237279,tcp,6147
N/A,65498,0,52.184.204.244,1136,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,128,·······AP···,443,N/A,1663875295.210207000,1,101,1314237279,tcp,6147
N/A,65498,0,52.184.204.244,1136,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,129,·······AP···,443,N/A,1663875295.210207000,1,101,1314237321,tcp,6147
N/A,443,0,10.169.169.63,285,0,N/A,52.184.204.244,0,20,N/A,MacOS,N/A,N/A,20,130,·······A····,65498,N/A,1663875295.210236000,1,64,678053556,tcp,4094
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,131,N/A,64352,N/A,1663875295.213076000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,132,N/A,443,N/A,1663875295.215634000,1,54,N/A,udp,N/A
N/A,443,0,10.169.169.63,1,0,N/A,192.0.78.23,0,20,N/A,MacOS,N/A,N/A,20,133,·······AP···,65502,N/A,1663875295.282895000,1,64,780980029,tcp,4096
