PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
175,windows,151.101.194.104,10.169.169.21,20,1663877079.500353000,128,1,0,0,tcp,64085,443,tls
176,windows,10.169.169.21,151.101.194.104,20,1663877079.832586000,53,1,0,0,tcp,443,64085,
177,windows,10.169.169.21,162.159.133.234,20,1663877081.023639000,53,1,0,0,tcp,443,53331,tls
178,windows,162.159.133.234,10.169.169.21,20,1663877081.064762000,128,1,0,0,tcp,53331,443,
180,windows,13.64.180.106,10.169.169.21,20,1663877081.266812000,128,1,0,0,tcp,58723,443,tls
181,windows,10.169.169.21,13.64.180.106,20,1663877081.315502000,104,1,0,0,tcp,443,58723,tls
182,windows,13.64.180.106,10.169.169.21,20,1663877081.356262000,128,1,0,0,tcp,58723,443,
185,windows,239.255.255.250,10.169.169.21,20,1663877082.872746000,1,0,0,0,udp,60412,1900,
187,windows,10.169.169.21,140.82.112.26,20,1663877083.508662000,48,1,0,0,tcp,443,58753,tls
188,windows,140.82.112.26,10.169.169.21,20,1663877083.509050000,128,1,0,0,tcp,58753,443,tls
189,windows,10.169.169.21,140.82.112.26,20,1663877083.549292000,48,1,0,0,tcp,443,58753,
190,windows,10.100.70.24,10.169.169.21,20,1663877083.806768000,128,0,0,0,udp,60413,53,
191,windows,10.169.169.21,10.100.70.24,20,1663877083.809448000,125,0,0,0,udp,53,60413,
192,windows,10.182.70.24,10.169.169.21,20,1663877083.815237000,128,0,0,0,udp,60414,53,
193,windows,10.182.70.95,10.169.169.21,20,1663877083.816169000,128,0,0,0,udp,60415,53,
194,windows,10.248.14.16,10.169.169.21,20,1663877083.816908000,128,0,0,0,udp,60416,53,
195,windows,10.169.169.21,10.182.70.24,20,1663877083.819031000,120,0,0,0,udp,53,60414,
196,windows,10.169.169.21,10.182.70.95,20,1663877083.819863000,121,0,0,0,udp,53,60415,
197,windows,10.169.169.21,10.248.14.16,20,1663877083.824806000,121,0,0,0,udp,53,60416,
198,windows,239.255.255.250,10.169.169.21,20,1663877083.873764000,1,0,0,0,udp,60412,1900,
199,windows,10.100.70.24,10.169.169.21,20,1663877084.003858000,128,0,0,0,udp,60417,53,
200,windows,10.169.169.21,10.100.70.24,20,1663877084.012206000,125,0,0,0,udp,53,60417,
201,windows,10.182.70.24,10.169.169.21,20,1663877084.014762000,128,0,0,0,udp,60418,53,
203,windows,10.169.169.21,10.182.70.24,20,1663877084.034267000,120,0,0,0,udp,53,60418,
204,windows,10.182.70.95,10.169.169.21,20,1663877084.035458000,128,0,0,0,udp,56585,53,
